category,search_term,matches_found,candidate_paths,evidence_type,usable_for_readiness,notes
dx_dy_grid_spacing,dx,25,README.md; analysis/phase26_strong_physics_constraint_feasibility/conservation_residual_summary.md; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.json; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.md; analysis/phase31_physics_input_recovery_readiness/domain_boundary_mask_inspection.md; analysis/phase31_physics_input_recovery_readiness/domain_boundary_mask_summary.json; analysis/phase31_physics_input_recovery_readiness/masked_physical_error_summary.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.md; analysis/phase31_physics_input_recovery_readiness/static_map_inspection.md; analysis/phase31_physics_input_recovery_readiness/static_map_inspection_summary.json; docs/phase26_strong_physics_constraint_feasibility_findings.md; docs/phase26_strong_physics_constraint_feasibility_plan.md; docs/phase27_conservative_volume_response_consistency_plan.md; docs/phase29_seed42_tolerance_band_volume_findings.md; docs/phase29_tolerance_band_volume_consistency_plan.md; docs/phase30_strong_physics_boundary_synthesis.md; docs/phase30_strong_physics_boundary_synthesis_plan.md; docs/phase31_physics_input_recovery_readiness_findings.md; docs/phase31_physics_input_recovery_readiness_plan.md; docs/phase32_domain_boundary_aware_design.md; docs/phase32_domain_boundary_aware_physical_consistency_findings.md; docs/phase32_domain_boundary_aware_physical_consistency_plan.md; docs/phase41_swe_data_readiness_audit_plan.md; docs/project_status.md,documentation_or_report; json_or_config,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
dx_dy_grid_spacing,dy,25,README.md; analysis/phase26_strong_physics_constraint_feasibility/conservation_residual_summary.md; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.json; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.md; analysis/phase31_physics_input_recovery_readiness/domain_boundary_mask_inspection.md; analysis/phase31_physics_input_recovery_readiness/domain_boundary_mask_summary.json; analysis/phase31_physics_input_recovery_readiness/masked_physical_error_summary.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.md; analysis/phase31_physics_input_recovery_readiness/static_map_inspection.md; analysis/phase31_physics_input_recovery_readiness/static_map_inspection_summary.json; docs/phase26_strong_physics_constraint_feasibility_findings.md; docs/phase26_strong_physics_constraint_feasibility_plan.md; docs/phase27_conservative_volume_response_consistency_plan.md; docs/phase29_seed42_tolerance_band_volume_findings.md; docs/phase29_tolerance_band_volume_consistency_plan.md; docs/phase30_strong_physics_boundary_synthesis.md; docs/phase30_strong_physics_boundary_synthesis_plan.md; docs/phase31_physics_input_recovery_readiness_findings.md; docs/phase31_physics_input_recovery_readiness_plan.md; docs/phase32_domain_boundary_aware_design.md; docs/phase32_domain_boundary_aware_physical_consistency_findings.md; docs/phase32_domain_boundary_aware_physical_consistency_plan.md; docs/phase41_swe_data_readiness_audit_plan.md; docs/project_status.md,documentation_or_report; json_or_config,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
dx_dy_grid_spacing,resolution,10,analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.json; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.md; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.md; docs/manuscript_draft_reliability_aware_urban_flood_warning.md; docs/manuscript_full_draft_reliability_aware_urban_flood_warning.md; docs/phase26_strong_physics_constraint_feasibility_plan.md; docs/phase30_strong_physics_boundary_synthesis_plan.md; docs/phase31_physics_input_recovery_readiness_findings.md; docs/phase41_swe_data_readiness_audit_plan.md,documentation_or_report; json_or_config,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
dx_dy_grid_spacing,grid_spacing,2,docs/phase40_failed_pilot_design_review_next_constraint_findings.md; docs/phase41_swe_data_readiness_audit_plan.md,documentation_or_report,no,"Documentation mentions are treated as context only, not aligned data evidence."
dx_dy_grid_spacing,cell_size,0,,,no,"Documentation mentions are treated as context only, not aligned data evidence."
dx_dy_grid_spacing,pixel_size,0,,,no,"Documentation mentions are treated as context only, not aligned data evidence."
dx_dy_grid_spacing,spatial_resolution,3,analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.json; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.md; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.json,documentation_or_report; json_or_config,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
dt_time_step,dt,21,README.md; analysis/phase26_strong_physics_constraint_feasibility/conservation_residual_summary.md; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.md; analysis/phase31_physics_input_recovery_readiness/domain_boundary_mask_inspection.md; analysis/phase31_physics_input_recovery_readiness/domain_boundary_mask_summary.json; analysis/phase31_physics_input_recovery_readiness/masked_physical_error_summary.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.md; analysis/phase31_physics_input_recovery_readiness/static_map_inspection.md; analysis/phase31_physics_input_recovery_readiness/static_map_inspection_summary.json; docs/phase26_strong_physics_constraint_feasibility_findings.md; docs/phase26_strong_physics_constraint_feasibility_plan.md; docs/phase30_strong_physics_boundary_synthesis.md; docs/phase30_strong_physics_boundary_synthesis_plan.md; docs/phase31_physics_input_recovery_readiness_findings.md; docs/phase31_physics_input_recovery_readiness_plan.md; docs/phase32_domain_boundary_aware_design.md; docs/phase32_domain_boundary_aware_physical_consistency_findings.md; docs/phase32_domain_boundary_aware_physical_consistency_plan.md; docs/phase41_swe_data_readiness_audit_plan.md; docs/project_status.md,documentation_or_report; json_or_config,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
dt_time_step,timestep,36,README.md; analysis/phase26_strong_physics_constraint_feasibility/conservation_residual_summary.md; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.md; docs/experiment_index.md; docs/manuscript_draft_reliability_aware_urban_flood_warning.md; docs/manuscript_evidence_figure_table_alignment.md; docs/manuscript_full_draft_reliability_aware_urban_flood_warning.md; docs/manuscript_reliability_aware_warning_layer.md; docs/manuscript_structure_and_submission_consolidation.md; docs/phase12_reliability_applicability_findings.md; docs/phase12_reliability_applicability_plan.md; docs/phase13_failure_case_visual_summary_findings.md; docs/phase13_failure_case_visual_summary_plan.md; docs/phase14_uncertainty_confidence_diagnostics_plan.md; docs/phase15_reliability_screening_risk_mapping_plan.md; docs/phase17_reliability_warning_framework_synthesis.md; docs/phase21_manuscript_evidence_figure_alignment_plan.md; docs/phase24_physical_consistency_deepening_findings.md; docs/phase24_physical_consistency_deepening_plan.md; docs/phase25_physics_consistency_guided_refinement_plan.md; docs/phase25_three_seed_target_wet_recall_synthesis_findings.md; docs/phase26_strong_physics_constraint_feasibility_findings.md; docs/phase26_strong_physics_constraint_feasibility_plan.md; docs/phase27_conservative_volume_response_consistency_plan.md; docs/phase27_seed42_volume_response_pilot_findings.md; docs/phase28_volume_response_loss_diagnosis_findings.md; docs/phase28_volume_response_loss_diagnosis_plan.md; docs/phase29_seed42_tolerance_band_volume_findings.md; docs/phase30_strong_physics_boundary_synthesis.md,documentation_or_report; json_or_config,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
dt_time_step,time_step,2,docs/phase40_failed_pilot_design_review_next_constraint_findings.md; docs/phase41_swe_data_readiness_audit_plan.md,documentation_or_report,no,"Documentation mentions are treated as context only, not aligned data evidence."
dt_time_step,interval,21,README.md; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.json; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.md; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.json; datasets/rainfall_alignment.py; docs/experiment_index.md; docs/manuscript_draft_reliability_aware_urban_flood_warning.md; docs/manuscript_evidence_figure_table_alignment.md; docs/manuscript_full_draft_reliability_aware_urban_flood_warning.md; docs/manuscript_reliability_aware_warning_layer.md; docs/manuscript_structure_and_submission_consolidation.md; docs/phase12_reliability_applicability_findings.md; docs/phase14_uncertainty_confidence_diagnostics_findings.md; docs/phase15_reliability_screening_risk_mapping_findings.md; docs/phase15_reliability_screening_risk_mapping_plan.md; docs/phase16_reliability_warning_applicability_findings.md; docs/phase17_reliability_warning_framework_synthesis.md; docs/phase22_manuscript_full_draft_expansion_plan.md; docs/phase26_strong_physics_constraint_feasibility_plan.md; docs/phase41_swe_data_readiness_audit_plan.md; docs/project_status.md,code_or_script; documentation_or_report; json_or_config,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
dt_time_step,temporal_resolution,0,,,no,"Documentation mentions are treated as context only, not aligned data evidence."
dt_time_step,minutes,0,,,no,"Documentation mentions are treated as context only, not aligned data evidence."
dt_time_step,seconds,0,,,no,"Documentation mentions are treated as context only, not aligned data evidence."
dt_time_step,hours,0,,,no,"Documentation mentions are treated as context only, not aligned data evidence."
boundary_conditions,boundary,1088,README.md; analysis/phase26_strong_physics_constraint_feasibility/conservation_residual_by_run.csv; analysis/phase26_strong_physics_constraint_feasibility/conservation_residual_summary.md; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.json; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.md; analysis/phase26_strong_physics_constraint_feasibility/summary.json; analysis/phase31_physics_input_recovery_readiness/domain_boundary_mask_inspection.md; analysis/phase31_physics_input_recovery_readiness/domain_boundary_mask_summary.csv; analysis/phase31_physics_input_recovery_readiness/domain_boundary_mask_summary.json; analysis/phase31_physics_input_recovery_readiness/masked_physical_error_by_region.csv; analysis/phase31_physics_input_recovery_readiness/masked_physical_error_delta_phase29_vs_phase27.csv; analysis/phase31_physics_input_recovery_readiness/masked_physical_error_findings.md; analysis/phase31_physics_input_recovery_readiness/masked_physical_error_summary.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.md; analysis/phase31_physics_input_recovery_readiness/static_map_inspection.md; analysis/phase31_physics_input_recovery_readiness/static_map_inspection_summary.json; configs/train_phase10_margin_aware_boundary_band_seed123_40e.json; configs/train_phase10_margin_aware_boundary_band_seed202_40e.json; configs/train_phase10_margin_aware_boundary_band_seed42_40e.json; configs/train_phase25_target_wet_recall_seed123_40e.json; configs/train_phase25_target_wet_recall_seed202_40e.json; configs/train_phase25_target_wet_recall_seed42_40e.json; configs/train_phase27_volume_response_seed42_40e.json; configs/train_phase29_tolerance_band_volume_seed42_40e.json; configs/train_phase36_manhole_false_dry_guardrail_seed42_40e.json; docs/experiment_index.md; docs/manuscript_draft_reliability_aware_urban_flood_warning.md; docs/manuscript_evidence_figure_table_alignment.md; docs/manuscript_full_draft_reliability_aware_urban_flood_warning.md,csv_or_table; documentation_or_report; json_or_config,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
boundary_conditions,inflow,18,README.md; analysis/phase26_strong_physics_constraint_feasibility/conservation_residual_summary.md; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.json; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.md; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.md; analysis/phase31_physics_input_recovery_readiness/static_map_inspection_summary.json; docs/phase26_strong_physics_constraint_feasibility_findings.md; docs/phase26_strong_physics_constraint_feasibility_plan.md; docs/phase30_strong_physics_boundary_synthesis.md; docs/phase30_strong_physics_boundary_synthesis_plan.md; docs/phase31_physics_input_recovery_readiness_findings.md; docs/phase31_physics_input_recovery_readiness_plan.md; docs/phase32_domain_boundary_aware_design.md; docs/phase32_domain_boundary_aware_physical_consistency_findings.md; docs/phase32_domain_boundary_aware_physical_consistency_plan.md; docs/phase40_failed_pilot_design_review_next_constraint_plan.md; docs/phase41_swe_data_readiness_audit_plan.md,documentation_or_report; json_or_config,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
boundary_conditions,outflow,17,README.md; analysis/phase26_strong_physics_constraint_feasibility/conservation_residual_summary.md; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.json; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.md; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.md; analysis/phase31_physics_input_recovery_readiness/static_map_inspection_summary.json; docs/phase26_strong_physics_constraint_feasibility_findings.md; docs/phase26_strong_physics_constraint_feasibility_plan.md; docs/phase30_strong_physics_boundary_synthesis.md; docs/phase30_strong_physics_boundary_synthesis_plan.md; docs/phase31_physics_input_recovery_readiness_findings.md; docs/phase31_physics_input_recovery_readiness_plan.md; docs/phase32_domain_boundary_aware_design.md; docs/phase32_domain_boundary_aware_physical_consistency_findings.md; docs/phase32_domain_boundary_aware_physical_consistency_plan.md; docs/phase41_swe_data_readiness_audit_plan.md,documentation_or_report; json_or_config,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
boundary_conditions,stage,32,README.md; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.md; configs/train_stage2b_phase1.json; configs/train_stage2b_phase1_20epoch.json; configs/train_stage2b_phase1_5epoch.json; configs/train_stage2b_phase1_debug.json; configs/train_stage2b_phase2.json; configs/train_stage2b_phase2_debug.json; configs/train_stage2b_phase3.json; docs/README_stage2a.md; docs/experiment_index.md; docs/manuscript_draft_reliability_aware_urban_flood_warning.md; docs/manuscript_full_draft_reliability_aware_urban_flood_warning.md; docs/manuscript_structure_and_submission_consolidation.md; docs/phase12_reliability_applicability_plan.md; docs/phase17_reliability_warning_framework_synthesis.md; docs/phase25_three_seed_target_wet_recall_synthesis_findings.md; docs/phase26_strong_physics_constraint_feasibility_findings.md; docs/phase26_strong_physics_constraint_feasibility_plan.md; docs/phase27_conservative_volume_response_consistency_plan.md; docs/phase29_tolerance_band_volume_consistency_plan.md; docs/phase30_strong_physics_boundary_synthesis_plan.md; docs/phase31_physics_input_recovery_readiness_plan.md; docs/phase36_manhole_false_dry_guardrail_code_smoke_findings.md; docs/phase41_swe_data_readiness_audit_plan.md; docs/phase4_final_comparison.md; docs/phase6_pilot_a_results.md; docs/phase7_adapt010_results.md; docs/phase8_tradeoff_positioning.md,documentation_or_report; json_or_config,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
boundary_conditions,water_level,1,docs/phase41_swe_data_readiness_audit_plan.md,documentation_or_report,no,"Documentation mentions are treated as context only, not aligned data evidence."
boundary_conditions,open_boundary,0,,,no,"Documentation mentions are treated as context only, not aligned data evidence."
boundary_conditions,upstream,1,docs/phase41_swe_data_readiness_audit_plan.md,documentation_or_report,no,"Documentation mentions are treated as context only, not aligned data evidence."
boundary_conditions,downstream,2,datasets/rainfall_alignment.py; docs/phase41_swe_data_readiness_audit_plan.md,code_or_script; documentation_or_report,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
source_sink_terms,source,47,README.md; analysis/phase26_strong_physics_constraint_feasibility/conservation_residual_summary.md; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.json; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.md; analysis/phase31_physics_input_recovery_readiness/domain_boundary_mask_inspection.md; analysis/phase31_physics_input_recovery_readiness/domain_boundary_mask_summary.json; analysis/phase31_physics_input_recovery_readiness/masked_physical_error_by_phase.csv; analysis/phase31_physics_input_recovery_readiness/masked_physical_error_findings.md; analysis/phase31_physics_input_recovery_readiness/masked_physical_error_sample_location_mapping.csv; analysis/phase31_physics_input_recovery_readiness/masked_physical_error_summary.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.md; analysis/phase31_physics_input_recovery_readiness/static_map_inspection.md; analysis/phase31_physics_input_recovery_readiness/static_map_inspection_summary.json; datasets/rainfall_alignment.py; docs/experiment_index.md; docs/manuscript_draft_reliability_aware_urban_flood_warning.md; docs/manuscript_evidence_figure_table_alignment.md; docs/manuscript_full_draft_reliability_aware_urban_flood_warning.md; docs/manuscript_structure_and_submission_consolidation.md; docs/phase12_reliability_applicability_plan.md; docs/phase13_failure_case_visual_summary_findings.md; docs/phase13_failure_case_visual_summary_plan.md; docs/phase16_reliability_warning_applicability_plan.md; docs/phase20_manuscript_draft_assembly_plan.md; docs/phase21_manuscript_evidence_figure_alignment_plan.md; docs/phase22_manuscript_full_draft_expansion_plan.md; docs/phase23_reliability_warning_case_study_plan.md; docs/phase24_physical_consistency_deepening_findings.md; docs/phase24_physical_consistency_deepening_plan.md,code_or_script; csv_or_table; documentation_or_report; json_or_config,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
source_sink_terms,sink,27,README.md; analysis/phase26_strong_physics_constraint_feasibility/conservation_residual_summary.md; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.json; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.md; analysis/phase31_physics_input_recovery_readiness/domain_boundary_mask_inspection.md; analysis/phase31_physics_input_recovery_readiness/domain_boundary_mask_summary.json; analysis/phase31_physics_input_recovery_readiness/masked_physical_error_summary.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.md; analysis/phase31_physics_input_recovery_readiness/static_map_inspection.md; analysis/phase31_physics_input_recovery_readiness/static_map_inspection_summary.json; docs/experiment_index.md; docs/phase24_physical_consistency_deepening_findings.md; docs/phase25_physics_consistency_guided_refinement_plan.md; docs/phase25_three_seed_target_wet_recall_synthesis_findings.md; docs/phase26_strong_physics_constraint_feasibility_findings.md; docs/phase26_strong_physics_constraint_feasibility_plan.md; docs/phase30_strong_physics_boundary_synthesis.md; docs/phase30_strong_physics_boundary_synthesis_plan.md; docs/phase31_physics_input_recovery_readiness_findings.md; docs/phase31_physics_input_recovery_readiness_plan.md; docs/phase32_domain_boundary_aware_design.md; docs/phase32_domain_boundary_aware_physical_consistency_findings.md; docs/phase32_domain_boundary_aware_physical_consistency_plan.md; docs/phase40_failed_pilot_design_review_next_constraint_findings.md; docs/phase41_swe_data_readiness_audit_plan.md; docs/project_status.md,documentation_or_report; json_or_config,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
source_sink_terms,rainfall,148,README.md; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.json; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.md; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.md; configs/ablation_non_negativity.json; configs/ablation_rainfall_only_debug.json; configs/ablation_rainfall_topography_continuity.json; configs/ablation_topography_only_debug.json; configs/ablation_wet_dry.json; configs/train_baseline.json; configs/train_baseline_20epoch.json; configs/train_baseline_5epoch.json; configs/train_baseline_debug.json; configs/train_phase10_margin_aware_boundary_band_seed123_40e.json; configs/train_phase10_margin_aware_boundary_band_seed202_40e.json; configs/train_phase10_margin_aware_boundary_band_seed42_40e.json; configs/train_phase25_target_wet_recall_seed123_40e.json; configs/train_phase25_target_wet_recall_seed202_40e.json; configs/train_phase25_target_wet_recall_seed42_40e.json; configs/train_phase27_volume_response_seed42_40e.json; configs/train_phase29_tolerance_band_volume_seed42_40e.json; configs/train_phase36_manhole_false_dry_guardrail_seed42_40e.json; configs/train_stage2b_phase1.json; configs/train_stage2b_phase1_20epoch.json; configs/train_stage2b_phase1_5epoch.json; configs/train_stage2b_phase1_debug.json; configs/train_stage2b_phase2.json; configs/train_stage2b_phase2_debug.json; configs/train_stage2b_phase3.json,code_or_script; documentation_or_report; json_or_config,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
source_sink_terms,infiltration,10,analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.json; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.md; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.md; docs/phase26_strong_physics_constraint_feasibility_findings.md; docs/phase26_strong_physics_constraint_feasibility_plan.md; docs/phase30_strong_physics_boundary_synthesis.md; docs/phase30_strong_physics_boundary_synthesis_plan.md; docs/phase31_physics_input_recovery_readiness_findings.md; docs/phase31_physics_input_recovery_readiness_plan.md,documentation_or_report; json_or_config,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
source_sink_terms,drainage,21,analysis/phase26_strong_physics_constraint_feasibility/conservation_residual_summary.md; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.json; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.md; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.md; analysis/phase31_physics_input_recovery_readiness/static_map_channel_summary.csv; analysis/phase31_physics_input_recovery_readiness/static_map_inspection.md; analysis/phase31_physics_input_recovery_readiness/static_map_inspection_summary.json; docs/manuscript_draft_reliability_aware_urban_flood_warning.md; docs/manuscript_full_draft_reliability_aware_urban_flood_warning.md; docs/phase26_strong_physics_constraint_feasibility_findings.md; docs/phase26_strong_physics_constraint_feasibility_plan.md; docs/phase30_strong_physics_boundary_synthesis.md; docs/phase30_strong_physics_boundary_synthesis_plan.md; docs/phase31_physics_input_recovery_readiness_findings.md; docs/phase31_physics_input_recovery_readiness_plan.md; docs/phase32_domain_boundary_aware_design.md; docs/phase32_domain_boundary_aware_physical_consistency_findings.md; docs/phase32_domain_boundary_aware_physical_consistency_plan.md; docs/phase33_seed42_pilot_readiness_review_plan.md; docs/phase40_failed_pilot_design_review_next_constraint_plan.md,csv_or_table; documentation_or_report; json_or_config,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
source_sink_terms,sewer,3,analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.md; docs/phase31_physics_input_recovery_readiness_findings.md,documentation_or_report; json_or_config,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
source_sink_terms,outfall,0,,,no,"Documentation mentions are treated as context only, not aligned data evidence."
source_sink_terms,lateral,0,,,no,"Documentation mentions are treated as context only, not aligned data evidence."
source_sink_terms,evaporation,0,,,no,"Documentation mentions are treated as context only, not aligned data evidence."
pump_gate_operations,pump,16,README.md; analysis/phase26_strong_physics_constraint_feasibility/conservation_residual_summary.md; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.json; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.md; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.md; docs/phase25_three_seed_target_wet_recall_synthesis_findings.md; docs/phase26_strong_physics_constraint_feasibility_findings.md; docs/phase26_strong_physics_constraint_feasibility_plan.md; docs/phase30_strong_physics_boundary_synthesis.md; docs/phase30_strong_physics_boundary_synthesis_plan.md; docs/phase31_physics_input_recovery_readiness_findings.md; docs/phase31_physics_input_recovery_readiness_plan.md; docs/phase40_failed_pilot_design_review_next_constraint_findings.md; docs/phase41_swe_data_readiness_audit_plan.md; docs/project_status.md,documentation_or_report; json_or_config,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
